b2_1_00075;b2_1_00075;0;
b2_1_00079;b2_1_00079;0;
b2_1_00086;b2_1_00086;0;
b2_1_00071;b2_1_00071;0;
b2_1_00104;b2_1_00104;0;
b2_1_00100;b2_1_00100;0;
b2_1_00110;b2_1_00110;0;
b2_1_00111;b2_1_00111;0;
b2_1_00123;b2_1_00123;0;
b2_1_00129;b2_1_00129;0;
b2_1_00140;b2_1_00140;0;
b2_1_00150;b2_1_00150;0;
b2_1_00159;b2_1_00159;0;
b2_1_00164;b2_1_00164;0;
b2_1_00165;b2_1_00165;0;
b2_1_00169;b2_1_00169;0;
b2_1_00172;b2_1_00172;0;
b2_1_00182;b2_1_00182;0;
b2_1_00186;b2_1_00186;0;
b2_1_00188;b2_1_00188;0;
b2_1_00191;b2_1_00191;0;
b2_1_00193;b2_1_00193;0;
b2_1_00194;b2_1_00194;0;
b1_3_00184;b1_3_00184;0;
b2_1_00196;b2_1_00196;0;
b1_3_00185;b1_3_00185;0;
b1_3_00195;b1_3_00195;0;
b2_1_00200;b2_1_00200;0;
b1_3_00205;b1_3_00205;0;
b2_2_00001;b2_2_00001;0;
b2_2_00005;b2_2_00005;0;
b2_2_00010;b2_2_00010;0;
b2_1_00205;b2_1_00205;0;
b2_2_00017;b2_2_00017;0;
b1_3_00204;b1_3_00204;0;
b2_2_00018;b2_2_00018;0;
b2_1_00212;b2_1_00212;0;
b1_3_00214;b1_3_00214;0;
b2_2_00024;b2_2_00024;0;
b1_3_00216;b1_3_00216;0;
b2_2_00029;b2_2_00029;0;
b1_3_00218;b1_3_00218;0;
b1_3_00219;b1_3_00219;0;
b2_2_00032;b2_2_00032;0;
b2_2_00039;b2_2_00039;0;
b2_2_00047;b2_2_00047;0;
b1_3_00023;b1_3_00023;0;
b1_3_00025;b1_3_00025;0;
b2_2_00060;b2_2_00060;0;
b1_3_00036;b1_3_00036;0;
b2_2_00075;b2_2_00075;0;
b1_3_00039;b1_3_00039;0;
b2_2_00078;b2_2_00078;0;
b1_3_00042;b1_3_00042;0;
b2_2_00083;b2_2_00083;0;
b2_1_00016;b2_1_00016;0;
b1_3_00046;b1_3_00046;0;
b2_2_00085;b2_2_00085;0;
b1_3_00052;b1_3_00052;0;
b2_2_00086;b2_2_00086;0;
b1_3_00056;b1_3_00056;0;
b1_3_00059;b1_3_00059;0;
b2_2_00093;b2_2_00093;0;
b1_3_00060;b1_3_00060;0;
b2_2_00096;b2_2_00096;0;
b1_3_00067;b1_3_00067;0;
b2_2_00105;b2_2_00105;0;
b1_3_00069;b1_3_00069;0;
b2_2_00108;b2_2_00108;0;
b1_3_00086;b1_3_00086;0;
b2_2_00112;b2_2_00112;0;
b1_3_00088;b1_3_00088;0;
b2_2_00126;b2_2_00126;0;
b1_3_00095;b1_3_00095;0;
b1_3_00096;b1_3_00096;0;
b2_2_00130;b2_2_00130;0;
b2_1_00028;b2_1_00028;0;
b1_3_00103;b1_3_00103;0;
b2_1_00033;b2_1_00033;0;
b2_2_00140;b2_2_00140;0;
b1_3_00104;b1_3_00104;0;
b1_3_00109;b1_3_00109;0;
b2_1_00036;b2_1_00036;0;
b2_2_00142;b2_2_00142;0;
b2_2_00143;b2_2_00143;0;
b1_3_00116;b1_3_00116;0;
b2_1_00049;b2_1_00049;0;
b1_3_00117;b1_3_00117;0;
b2_2_00146;b2_2_00146;0;
b1_3_00120;b1_3_00120;0;
b2_2_00150;b2_2_00150;0;
b2_1_00106;b2_1_00106;0;
b1_3_00121;b1_3_00121;0;
b2_2_00151;b2_2_00151;0;
b1_3_00134;b1_3_00134;0;
b2_2_00153;b2_2_00153;0;
b1_3_00139;b1_3_00139;0;
b2_2_00156;b2_2_00156;0;
b2_2_00157;b2_2_00157;0;
b1_3_00155;b1_3_00155;0;
b2_2_00160;b2_2_00160;0;
b1_3_00159;b1_3_00159;0;
b2_1_00114;b2_1_00114;0;
b1_3_00164;b1_3_00164;0;
b2_2_00163;b2_2_00163;0;
b2_1_00122;b2_1_00122;0;
b1_3_00166;b1_3_00166;0;
b2_2_00164;b2_2_00164;0;
b2_1_00124;b2_1_00124;0;
b1_3_00173;b1_3_00173;0;
b2_2_00168;b2_2_00168;0;
b1_3_00178;b1_3_00178;0;
b2_2_00169;b2_2_00169;0;
b1_3_00179;b1_3_00179;0;
b2_2_00172;b2_2_00172;0;
b1_3_00180;b1_3_00180;0;
b2_1_00132;b2_1_00132;0;
b2_2_00174;b2_2_00174;0;
b1_3_00193;b1_3_00193;0;
b2_1_00137;b2_1_00137;0;
b2_2_00175;b2_2_00175;0;
b1_3_00197;b1_3_00197;0;
b2_1_00139;b2_1_00139;0;
b2_2_00176;b2_2_00176;0;
b1_3_00199;b1_3_00199;0;
b2_1_00142;b2_1_00142;0;
b1_3_00201;b1_3_00201;0;
b2_2_00179;b2_2_00179;0;
b2_1_00146;b2_1_00146;0;
b2_2_00181;b2_2_00181;0;
b1_3_00009;b1_3_00009;0;
b2_1_00152;b2_1_00152;0;
b1_3_00013;b1_3_00013;0;
b2_2_00189;b2_2_00189;0;
b2_1_00154;b2_1_00154;0;
